Nome,Data de Nascimento,CPF,Profissões
Sr. Breno Santos,14/09/1984,189.762.435-28,"[encanador, pedreiro]"
Pedro Pereira,07/10/1973,205.497.361-07,"[carpinteiro, engenheiro civil]"
Evelyn Araújo,30/05/1965,504.178.923-14,[eletricista]
Dr. Enrico Nascimento,25/02/1994,026.759.431-34,"[marceneiro, encanador, assistente administrativo]"
Sabrina Costa,01/06/1990,078.261.594-58,"[pintor, engenheiro civil]"
Vitor Moreira,19/03/1970,751.893.460-48,"[marceneiro, eletricista]"
Sr. João Guilherme Rocha,08/09/1995,376.148.590-57,"[técnico em segurança do trabalho, arquiteto, pintor]"
Emanuella Gomes,29/09/1977,518.364.729-19,"[pedreiro, encanador, marceneiro]"
Stella da Paz,29/09/1966,702.839.546-47,"[pintor, técnico em segurança do trabalho]"
Arthur Pinto,17/02/1956,219.463.580-70,"[assistente administrativo, eletricista, marceneiro]"
Pietra Duarte,14/12/2002,415.629.073-52,"[assistente administrativo, pintor, marceneiro]"
Vicente Moraes,18/01/1985,679.231.480-31,[eletricista]
